task_uid,filename,book,chapter,verse,duration_seconds,speaker_id,lens_ratio_z,lead_silence_ms,trail_silence_ms,is_first_verse,heading_before,heading_after,is_verse_range
00000,GEN_028_Verse_012.wav,Genesis,028,012,14.0,SPEAKER_01,0.0511186129730865,800,700,False,False,False,False
00001,GAL_005_Verse_025.wav,Galatians,005,025,4.92,SPEAKER_06,0.1829396392899351,610,560,False,False,False,False
00002,EZK_044_Verse_005.wav,Ezekiel,044,005,24.36,SPEAKER_03,0.1439979448986739,590,510,False,False,False,False
00003,COL_003_Verse_011.wav,Colossians,003,011,15.18,SPEAKER_06,-0.0369480005257796,480,510,False,False,False,False
00004,1SA_016_Verse_019.wav,1 Samuel,016,019,8.78,SPEAKER_05,-0.2283446758464994,470,340,False,False,False,False
00005,PRO_005_Verse_004.wav,Proverbs,005,004,6.94,SPEAKER_04,0.0384996064144983,380,360,False,False,False,False
00006,GEN_041_Verse_039.wav,Genesis,041,039,11.88,SPEAKER_01,0.1600691203617347,830,760,False,False,False,False
00007,2SA_018_Verse_003.wav,2 Samuel,018,003,21.84,SPEAKER_05,-0.2467853742557341,580,320,False,False,False,False
00008,ISA_046_Verse_002.wav,Isaiah,046,002,11.2,SPEAKER_03,0.1484096401238278,260,540,False,False,False,False
00009,EZK_005_Verse_005.wav,Ezekiel,005,005,11.83,SPEAKER_03,-0.0189355355388348,540,370,False,False,False,False
00010,JHN_006_Verse_025.wav,John,006,025,6.8,SPEAKER_01,-0.0059996927565537,430,420,False,True,False,False
00011,EZK_046_Verse_020.wav,Ezekiel,046,020,17.26,SPEAKER_03,-0.1767871584287609,230,570,False,False,False,False
00012,DAN_008_Verse_004.wav,Daniel,008,004,22.24,SPEAKER_03,0.2125866082709361,690,520,False,False,False,False
00013,1KI_021_Verse_011.wav,1 Kings,021,011,11.52,SPEAKER_05,-0.1856480262273484,830,740,False,False,False,False
00014,MAT_011_Verse_012.wav,Matthew,011,012,9.68,SPEAKER_01,-0.2199871483105704,340,330,False,False,False,False
00015,MAT_010_Verse_023.wav,Matthew,010,023,12.6,SPEAKER_01,0.093998732346932,630,1000,False,False,False,False
00016,COL_002_Verse_014.wav,Colossians,002,014,13.89,SPEAKER_06,0.2191251863612668,180,720,False,False,False,False
00017,GEN_009_Verse_005.wav,Genesis,009,005,12.66,SPEAKER_01,-0.1520080315379712,310,760,False,False,False,False
00018,JOS_023_Verse_013.wav,Joshua,023,013,22.72,SPEAKER_05,-0.0761985871792002,230,610,False,False,False,False
00019,1CH_003_Verse_021.wav,1 Chronicles,003,021,11.34,SPEAKER_05,-0.0365435665532832,280,120,False,False,False,False
00020,NUM_025_Verse_015.wav,Numbers,025,015,10.1,SPEAKER_01,-0.0684987084462311,300,490,False,False,False,False
00021,EZK_027_Verse_009.wav,Ezekiel,027,009,14.32,SPEAKER_03,0.0699731367051858,500,480,False,False,False,False
00022,JOB_030_Verse_030.wav,Job,030,030,7.09,SPEAKER_04,0.1772474212455827,460,450,False,False,False,False
00023,ZEP_001_Verse_006.wav,Zephaniah,001,006,7.56,SPEAKER_02,0.2579202013456822,580,230,False,False,False,False
00024,MAT_014_Verse_030.wav,Matthew,014,030,9.48,SPEAKER_01,-0.117426509300436,500,630,False,False,False,False
00025,JER_015_Verse_016.wav,Jeremiah,015,016,13.82,SPEAKER_03,0.18586372390176,520,670,False,False,False,False
00026,ISA_040_Verse_015.wav,Isaiah,040,015,12.16,SPEAKER_03,0.1082292774578125,290,390,False,False,False,False
00027,EZK_045_Verse_023.wav,Ezekiel,045,023,15.96,SPEAKER_03,-0.2297461689256001,520,310,False,False,False,False
00028,GAL_001_Verse_005.wav,Galatians,001,005,3.8,SPEAKER_06,0.2096219113728362,350,240,False,False,True,False
00029,NUM_016_Verse_016.wav,Numbers,016,016,11.18,SPEAKER_01,-0.1260582857991441,480,450,False,False,False,False
00030,PRO_025_Verse_022.wav,Proverbs,025,022,8.75,SPEAKER_04,0.0767782588749882,310,320,False,False,False,False
00031,LUK_012_Verse_017.wav,Luke,012,017,6.86,SPEAKER_01,-0.1189913342797335,240,420,False,False,False,False
00032,JHN_011_Verse_048.wav,John,011,048,11.48,SPEAKER_01,0.0417818127868465,340,530,False,False,False,False
00033,NUM_027_Verse_012.wav,Numbers,027,012,10.78,SPEAKER_01,0.0660896891337824,620,510,False,True,False,False
00034,ECC_002_Verse_011.wav,Ecclesiastes,002,011,18.5,SPEAKER_04,0.1010061977424414,400,500,False,False,True,False
00035,ZEP_002_Verse_010.wav,Zephaniah,002,010,9.73,SPEAKER_02,-0.2444618462561702,590,740,False,False,False,False
00036,TIT_003_Verse_014.wav,Titus,003,014,12.08,SPEAKER_06,-0.1268933111652433,700,540,False,False,False,False
00037,1KI_014_Verse_011.wav,1 Kings,014,011,13.8,SPEAKER_05,0.0015001891262081,400,1100,False,False,False,False
00038,HAG_002_Verse_018.wav,Haggai,002,018,13.98,SPEAKER_02,0.1281424899116289,430,800,False,False,False,False
00039,LUK_022_Verse_014.wav,Luke,022,014,6.2,SPEAKER_01,0.1360435247199884,700,240,False,True,False,False
00040,1TH_004_Verse_007.wav,1 Thessalonians,004,007,4.42,SPEAKER_06,-0.2482458775697457,480,260,False,False,False,False
00041,JOS_023_Verse_009.wav,Joshua,023,009,11.64,SPEAKER_05,0.0791989654316165,750,440,False,False,False,False
00042,2JN_001_Verse_008.wav,2 John,001,008,7.73,SPEAKER_06,0.0800682288498353,300,470,False,False,False,False
00043,2SA_014_Verse_014.wav,2 Samuel,014,014,18.93,SPEAKER_05,-0.0367057308997429,380,720,False,False,False,False
00044,ECC_008_Verse_014.wav,Ecclesiastes,008,014,18.14,SPEAKER_04,0.2078058404980834,610,910,False,False,False,False
00045,EXO_013_Verse_005.wav,Exodus,013,005,17.74,SPEAKER_01,-0.0696525364281954,410,270,False,False,False,False
00046,EZK_021_Verse_024.wav,Ezekiel,021,024,19.5,SPEAKER_03,0.0001912474768579,450,320,False,False,False,False
00047,1CH_004_Verse_019.wav,1 Chronicles,004,019,9.54,SPEAKER_05,-0.0777842764915555,420,490,False,False,False,False
00048,2KI_019_Verse_014.wav,2 Kings,019,014,11.58,SPEAKER_05,-0.2012850787038391,840,1090,False,True,False,False
00049,MAT_012_Verse_027.wav,Matthew,012,027,13.29,SPEAKER_01,-0.1089317451271053,380,400,False,False,False,False
